All,બધા
"Add this attribute to the list of column options in the product grid.","આ લક્ષણને ઉત્પાદન ગ્રીડના ક columnલમ વિકલ્પોની સૂચિમાં ઉમેરો."
"Add this attribute to the list of filter options in the product grid.","આ લક્ષણને ઉત્પાદન ગ્રીડમાંના ફિલ્ટર વિકલ્પોની સૂચિમાં ઉમેરો."
"All Store Views","બધા સ્ટોર જોવાયા"
"Delete selected items?","પસંદ કરેલી આઇટમ્સ કા Deleteી નાખો?"
"Delete items","આઇટમ્સ કા Deleteી નાખો"
"Change status","સ્થિતિ બદલો"
Enable,"સક્ષમ કરો"
Disable,"અક્ષમ કરો"
"Update attributes","લક્ષણો સુધારો"
Overview,અવલોકન
"Skip to the end of the images gallery","છબીઓ ગેલેરીના અંત પર જાઓ"
"Skip to the beginning of the images gallery","છબીઓ ગેલેરીની શરૂઆત પર જાઓ"
"Recently Compared","તાજેતરમાં સરખામણી"
"Add To Cart","સૂચી માં સામેલ કરો"
"Add To Compare","સરખામણી કરો"
"Learn more","વધુ શીખો"
"Recently Viewed","તાજેતરમાં જોવાયેલ"
Disabled,અક્ષમ
"Invalid method: %1","અમાન્ય પદ્ધતિ:%1"
City,શહેર
Country,દેશ
State/Province,"રાજ્ય / પ્રાંત"
"Zip/Postal Code","ઝીપ / પોસ્ટલ કોડ"
"My Cart (1 item)","મારી કાર્ટ (1 આઇટમ)"
"My Cart (%1 items)","મારી કાર્ટ (%1 આઇટમ્સ)"
"My Cart","મારી કાર્ટ"
"For delivery questions.","વિતરણ પ્રશ્નો માટે."
"Customer is already registered","ગ્રાહક પહેલેથી નોંધાયેલ છે"
"Your session has expired","તમારું સત્ર સમાપ્ત થયું છે"
"A letter with further instructions will be sent to your email.","વધુ સૂચનો સાથેનો એક પત્ર તમારા ઇમેઇલ પર મોકલવામાં આવશે."
"You added %1 to your shopping cart.","તમે તમારી શોપિંગ કાર્ટમાં%1 ઉમેર્યા."
"We can't add this item to your shopping cart right now.","અમે આ આઇટમને તમારા શોપિંગ કાર્ટમાં હમણાં ઉમેરી શકતા નથી."
"Out of stock","સ્ટોક બહાર"
"We cannot configure the product.","અમે ઉત્પાદનને ગોઠવી શકતા નથી."
"You used coupon code ""%1"".","તમે કૂપન કોડ ""%1"" નો ઉપયોગ કર્યો."
"You canceled the coupon code.","તમે કૂપન કોડ રદ કર્યો."
"We cannot apply the coupon code.","અમે કૂપન કોડ લાગુ કરી શકતા નથી."
"We can't remove the item.","અમે વસ્તુને દૂર કરી શકતા નથી."
"%1 was updated in your shopping cart.","%1 તમારી શોપિંગ કાર્ટમાં અપડેટ કરાઈ હતી."
"We can't update the item right now.","અમે અત્યારે વસ્તુને અપડેટ કરી શકતા નથી."
"Something went wrong while saving the page. Please refresh the page and try again.","પૃષ્ઠ સાચવતી વખતે કંઈક ખોટું થયું. કૃપા કરીને પૃષ્ઠને તાજું કરો અને ફરી પ્રયાસ કરો."
"We can't update the shopping cart.","અમે શોપિંગ કાર્ટને અપડેટ કરી શકતા નથી."
"One-page checkout is turned off.","વન-પૃષ્ઠ ચેકઆઉટ બંધ છે."
"Guest checkout is disabled.","અતિથિ ચેકઆઉટ અક્ષમ છે."
Checkout,ચેકઆઉટ
"Page not found.","પેજ નથી મળ્યું."
"Something went wrong while processing your order. Please try again later.","તમારા ઑર્ડરની પ્રક્રિયા કરતી વખતે કંઈક ખોટું થયું. પછીથી ફરી પ્રયત્ન કરો."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 \ Magento \ Checkout \ ગ્રાહક ડેટા \ આઇટમ ઇંટરફેસને વિસ્તૃત કરતું નથી"
"Payment Method","ચુકવણી ની રીત"
"Payment Page","ચુકવણી પૃષ્ઠ"
"We found an invalid request for adding product to quote.","અમને ક્વોટમાં ઉત્પાદન ઉમેરવા માટે અમાન્ય વિનંતી મળી."
"The product does not exist.","ઉત્પાદન અસ્તિત્વમાં નથી."
"We don't have some of the products you want.","તમારી પાસે જે ઉત્પાદનો છે તે અમારી પાસે નથી."
"We don't have as many of some products as you want.","તમને જોઈએ તેટલા કેટલાક ઉત્પાદનો અમારી પાસે નથી."
"Quantity was recalculated from %1 to %2","જથ્થો%1 થી%2 માં પુન: ગણતરી કરવામાં આવ્યો હતો"
"We adjusted product quantities to fit the required increments.","આવશ્યક ઇન્ક્રીમેન્ટ્સને બંધબેસતા અમે ઉત્પાદન જથ્થાને સમાયોજિત કર્યું."
"This quote item does not exist.","આ ક્વોટ આઇટમ અસ્તિત્વમાં નથી."
"Display number of items in cart","કાર્ટમાં વસ્તુઓની સંખ્યા પ્રદર્શિત કરો"
"Display item quantities","વસ્તુ જથ્થો પ્રદર્શિત કરો"
"An error occurred on the server. Please try to place the order again.","સર્વર પર એક ભૂલ આવી. કૃપા કરીને ફરીથી ઑર્ડર મૂકવાનો પ્રયાસ કરો."
"Carrier with such method not found: %1, %2","આવી પદ્ધતિ સાથે કૅરિઅર મળ્યું નથી:%1,%2"
"The shipping method is missing. Select the shipping method and try again.","શિપિંગ પદ્ધતિ ખૂટે છે. શિપિંગ પદ્ધતિ પસંદ કરો અને ફરી પ્રયાસ કરો."
" item", વસ્તુ
" items", વસ્તુઓ
"Totals calculation is not applicable to empty cart","ટૉટલ્સની ગણતરી ખાલી કાર્ટ પર લાગુ નથી"
"Invalid data","અમાન્ય ડેટા"
"The customer address is not valid.","ગ્રાહક સરનામું માન્ય નથી."
"Invalid shipping method","અમાન્ય શિપિંગ પદ્ધતિ"
"There are more than one shipping addresses.","ત્યાં એકથી વધુ શિપિંગ સરનામાં છે."
"Sorry, guest checkout is not available.","માફ કરશો, મહેમાન ચેકઆઉટ ઉપલબ્ધ નથી."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","તમારે તમારા એકાઉન્ટની પુષ્ટિ કરવી આવશ્યક છે. કૃપા કરીને નવી લિંક માટે પુષ્ટિ લિંક અથવા <a href=""%1""> અહીં ક્લિક કરો </a> માટે તમારું ઇમેઇલ તપાસો."
"Load customer quote error","ગ્રાહક ક્વોટ ભૂલ લોડ કરો"
Error!,ભૂલ!
"DB exception","ડીબી અપવાદ"
"Print receipt","છાપવા માટેની રસીદ"
"Apply Discount Code","ડિસ્કાઉન્ટ કોડ લાગુ કરો"
"Enter discount code","ડિસ્કાઉન્ટ કોડ દાખલ કરો"
"Apply Discount","ડિસ્કાઉન્ટ લાગુ કરો"
"Cancel Coupon","કૂપન રદ કરો"
Item,આઇટમ
"Continue Shopping","ખરીદારી ચાલુ રાખો"
"Clear Shopping Cart","સાફ શોપિંગ કાર્ટ"
"Update Shopping Cart","શોપિંગ કાર્ટ અપડેટ કરો"
"Update Cart","સુધારા કાર્ટ"
Edit,"ફેરફાર કરો"
"Remove item","આઇટમ દૂર કરો"
"You have no items in your shopping cart.","તમારી શોપિંગ કાર્ટમાં તમારી પાસે કોઈ આઇટમ્સ નથી."
"Click <a href=""%1"">here</a> to continue shopping.","ખરીદી ચાલુ રાખવા માટે <a href=""%1""> અહીં </a> ક્લિક કરો."
"Estimate Tax","અંદાજ કર"
"Estimate Shipping and Tax","શિપિંગ અને કર અંદાજ"
